Source,Target
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915463262465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Urban
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Bike Lane
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Parking Sign
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,True
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,In Motion
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915467862465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Urban
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Bike Lane
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Parking Sign
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,True
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,In Motion
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915468862465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Urban
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Parking Sign
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,True
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Van
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,In Motion
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,One-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915619512465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,One-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Waiting
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915624512465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915631762465.jpg,6
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915638112465.jpg,7
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915642362465.jpg,6
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915646262465.jpg,5
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915647412465.jpg,6
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915648662465.jpg,6
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915650762465.jpg,6
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Commercial Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915652012465.jpg,6
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Commercial Vehicles
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915654162465.jpg,5
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Few
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Bus
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Van
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915661162468.jpg,4
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Parking Area
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,SignNotVisible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Bus
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Blocking Parts of the Road
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Stopped
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Slowing Down
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Reduced
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,Obstructed
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915665362465.jpg,5
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Parking Area
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,SignNotVisible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Bus
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Cars/SUVs
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Blocking Parts of the Road
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,NoImpairments
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915666512465.jpg,5
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,Parking Area
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915669162465.jpg,None
